[indx],Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store,wineName,wineVintage,TypeClassifier,url
206,2009 Las Rocas de San Alejandro Garnacha,Red,Garnacha,$8.99,Las Rocas Garnacha 2009 - Garnacha Love (http://www.reversewinesnob.com/2012/11/las-rocas-garnacha-2009-garnacha-love.html),Highly Recommended,8.0,8.0,Other,Las Rocas de San Alejandro Garnacha,2009,http://www.reversewinesnob.com/2012/11/las-rocas-garnacha-2009-garnacha-love.html,Red
207,2010 90+ Cellars Lot 23 Old Vine Malbec,Red,Malbec,$9.99,90+ Cellars Lot 23 Old Vine Malbec 2010 - Magnificent Malbec (http://www.reversewinesnob.com/2012/06/90-cellars-lot-23-old-vine-malbec-2010.html),Highly Recommended,8.0,8.0,Other,90+ Cellars Lot 23 Old Vine Malbec,2010,http://www.reversewinesnob.com/2012/06/90-cellars-lot-23-old-vine-malbec-2010.html,Red
208,2010 Banfi Centine Bianco Toscana,White,Blend,$8.99,Simply Savory (http://www.reversewinesnob.com/2012/01/banfi-centine-bianco-toscana-2010.html),Highly Recommended,8.0,8.0,Other,Banfi Centine Bianco Toscana,2010,http://www.reversewinesnob.com/2012/01/banfi-centine-bianco-toscana-2010.html,White
209,2010 Banfi Centine Rosé Toscana,Rosé,Blend,$9.99,Succulent Strawberry With A Hint of Sea Salt (http://www.reversewinesnob.com/2012/01/banfi-centine-rose-toscana-2010.html),Highly Recommended,8.0,8.0,Other,Banfi Centine Rosé Toscana,2010,http://www.reversewinesnob.com/2012/01/banfi-centine-rose-toscana-2010.html,Rosé
210,2010 Basilica Cafaggio Single Estate Chianti Classico,Red,Chianti,$9.89,Basilica Cafaggio Single Estate Chianti Classico 2010 - The Best $10 Chianti Classico We've Ever Tasted (http://www.reversewinesnob.com/2014/01/basilica-cafaggio-single-estate-chianti-classico.html),Highly Recommended,8.0,8.0,Costco,Basilica Cafaggio Single Estate Chianti Classico,2010,http://www.reversewinesnob.com/2014/01/basilica-cafaggio-single-estate-chianti-classico.html,Red
211,2010 Caligiore Staccato Malbec/Cabernet Sauvignon,Red,Blend,$9.99,Deliciously Fruity and Complex (http://www.reversewinesnob.com/2011/07/2010-caligiore-staccato-malbec-cabernet.html),Recommended Buy,8.0,8.0,Other,Caligiore Staccato Malbec/Cabernet Sauvignon,2010,http://www.reversewinesnob.com/2011/07/2010-caligiore-staccato-malbec-cabernet.html,Red
212,2010 Château Bonnet Entre-Deux-Mers White,White,Blend,$9.99,Better and Better With Every Sip (http://www.reversewinesnob.com/2011/10/2010-chateau-bonnet-entre-deux-mers.html),Highly Recommended,8.0,8.0,Other,Château Bonnet Entre-Deux-Mers White,2010,http://www.reversewinesnob.com/2011/10/2010-chateau-bonnet-entre-deux-mers.html,White
213,2010 Elios Mediterranean White,White,Blend,$9.99,A Sun Soaked Summer Sipper (http://www.reversewinesnob.com/2012/03/elios-mediterranean-white-2010-sun.html),Highly Recommended,8.0,8.0,Other,Elios Mediterranean White,2010,http://www.reversewinesnob.com/2012/03/elios-mediterranean-white-2010-sun.html,White
214,2010 Enrique Foster IQUE Malbec,Red,Malbec,$8.99,Nothing Icky About It (http://www.reversewinesnob.com/2011/09/2010-enrique-foster-ique-malbec-nothing.html),Highly Recommended,8.0,8.0,Other,Enrique Foster IQUE Malbec,2010,http://www.reversewinesnob.com/2011/09/2010-enrique-foster-ique-malbec-nothing.html,Red
215,2010 Esporao Quinta Dos Murcas Assobio Douro,Red,Blend,$9.99,Esporao Assobio Douro 2010 - Beautifully Done (http://www.reversewinesnob.com/2013/09/esporao-assobio-douro.html),Highly Recommended,8.0,8.0,Other,Esporao Quinta Dos Murcas Assobio Douro,2010,http://www.reversewinesnob.com/2013/09/esporao-assobio-douro.html,Red
216,2010 Graffigna Centenario Reserve Malbec,Red,Malbec,$8.99,A Must-Have Malbec (http://www.reversewinesnob.com/2012/04/graffigna-centenario-reserve-malbec.html),Highly Recommended,8.0,8.0,Other,Graffigna Centenario Reserve Malbec,2010,http://www.reversewinesnob.com/2012/04/graffigna-centenario-reserve-malbec.html,Red
217,2010 HandCraft Petite Sirah,Red,Petite Sirah,$9.99,HandCraft Petite Sirah 2010 - A Big Wine At A Small Price (http://www.reversewinesnob.com/2013/04/handcraft-petite-sirah.html),Highly Recommended,8.0,8.0,Other,HandCraft Petite Sirah,2010,http://www.reversewinesnob.com/2013/04/handcraft-petite-sirah.html,Red
218,2010 Martin & Weyrich Moscato Allegro,White,Moscato,$9.99,Moscato Allegro 2010 - Simply Lovely (http://www.reversewinesnob.com/2012/06/moscato-allegro-2010-simply-lovely.html),Highly Recommended,8.0,8.0,Other,Martin & Weyrich Moscato Allegro,2010,http://www.reversewinesnob.com/2012/06/moscato-allegro-2010-simply-lovely.html,White
219,2010 McManis Zinfandel,Red,Zinfandel,$9.99,McManis Zinfandel 2010 - An Easy-Drinking and Well-Balanced Zin (http://www.reversewinesnob.com/2012/06/mcmanis-zinfandel-2010-easy-drinking.html),Highly Recommended,8.0,8.0,Other,McManis Zinfandel,2010,http://www.reversewinesnob.com/2012/06/mcmanis-zinfandel-2010-easy-drinking.html,Red
220,2010 Noble Vines 337 Cabernet Sauvignon,Red,Cabernet Sauvignon,$9.99,Noble Vines 337 Cabernet Sauvignon 2010 - A Brilliant Burger Wine (http://www.reversewinesnob.com/2013/07/noble-vines-337-cabernet-sauvignon.html),Highly Recommended,8.0,8.0,Other,Noble Vines 337 Cabernet Sauvignon,2010,http://www.reversewinesnob.com/2013/07/noble-vines-337-cabernet-sauvignon.html,Red
221,2010 Ravenswood Lodi Old Vine Zinfandel,Red,Zinfandel,$9.99,Ravenswood Lodi Old Vine Zinfandel 2010 - Super Ripe and Rich (http://www.reversewinesnob.com/2013/06/ravenswood-lodi-old-vine-zinfandel.html),Highly Recommended,8.0,8.0,Other,Ravenswood Lodi Old Vine Zinfandel,2010,http://www.reversewinesnob.com/2013/06/ravenswood-lodi-old-vine-zinfandel.html,Red
222,2010 Shoofly Shiraz,Red,Shiraz,$8.99,Shoofly Shiraz 2010 - Sweet and Spicy (http://www.reversewinesnob.com/2012/12/shoofly-shiraz-2010-sweet-and-spicy.html),Highly Recommended,8.0,8.0,Other,Shoofly Shiraz,2010,http://www.reversewinesnob.com/2012/12/shoofly-shiraz-2010-sweet-and-spicy.html,Red
223,2011 Avalon Napa Valley Merlot,Red,Merlot,$9.99,Avalon Napa Valley Merlot 2011 - Royally Good (http://www.reversewinesnob.com/2012/12/avalon-napa-valley-merlot-2011-royally-good.html),Highly Recommended,8.0,8.0,Other,Avalon Napa Valley Merlot,2011,http://www.reversewinesnob.com/2012/12/avalon-napa-valley-merlot-2011-royally-good.html,Red
224,2011 Bodega Cruz de Piedra Bandana Chardonnay-Torrontés,White,Blend,$8.99,Bandana Chardonnay-Torrontés 2011 - My Kind Of Chardonnay! (http://www.reversewinesnob.com/2012/06/bandana-chardonnay-torrontes-2011-my.html),Highly Recommended,8.0,8.0,Other,Bodega Cruz de Piedra Bandana Chardonnay-Torrontés,2011,http://www.reversewinesnob.com/2012/06/bandana-chardonnay-torrontes-2011-my.html,White
225,2011 Bodegas Barco de Piedra Tempranillo,Red,Tempranillo,$9.99,Bodegas Barco de Piedra Tempranillo 2011 - Costco Week Wine #1 (http://www.reversewinesnob.com/2013/02/bodegas-barco-de-piedra-tempranillo.html),Highly Recommended,8.0,8.0,Costco,Bodegas Barco de Piedra Tempranillo,2011,http://www.reversewinesnob.com/2013/02/bodegas-barco-de-piedra-tempranillo.html,Red
226,2011 Columbia Crest H3 Horse Heaven Hills Cabernet Sauvignon,Red,Cabernet Sauvignon,$9.99,"Columbia Crest H3 Cabernet Sauvignon 2011 - Rich, Juicy and Lush (http://www.reversewinesnob.com/2014/01/columbia-crest-h3-cabernet-sauvignon.html)",Highly Recommended,8.0,8.0,Costco,Columbia Crest H3 Horse Heaven Hills Cabernet Sauvignon,2011,http://www.reversewinesnob.com/2014/01/columbia-crest-h3-cabernet-sauvignon.html,Red
227,2011 Columbia Crest H3 Horse Heaven Hills Chardonnay,White,Chardonnay,$9.99,Columbia Crest H3 Horse Heaven Hills Chardonnay 2011 - Cha-Ching! (http://www.reversewinesnob.com/2014/07/columbia-crest-h3-horse-heaven-hills-chardonnay.html),Highly Recommended,8.0,8.0,Other,Columbia Crest H3 Horse Heaven Hills Chardonnay,2011,http://www.reversewinesnob.com/2014/07/columbia-crest-h3-horse-heaven-hills-chardonnay.html,White
228,2011 Douglas Green The Beach House Rosé,Rosé,Pinotage,$8.99,Douglas Green The Beach House Rosé 2011 - The Fruits of Summer (http://www.reversewinesnob.com/2012/06/douglas-green-beach-house-rose-2011.html),Highly Recommended,8.0,8.0,Other,Douglas Green The Beach House Rosé,2011,http://www.reversewinesnob.com/2012/06/douglas-green-beach-house-rose-2011.html,Rosé
229,2011 Ecco Domani Moscato,White,Moscato,$8.99,Ecco Domani Moscato 2011 - Moscato Monomania (http://www.reversewinesnob.com/2012/06/ecco-domani-moscato-2011-moscato.html),Highly Recommended,8.0,8.0,Other,Ecco Domani Moscato,2011,http://www.reversewinesnob.com/2012/06/ecco-domani-moscato-2011-moscato.html,White
230,2011 Fincas Patagonicas Zolo Malbec,Red,Malbec,$9.99,Zolo Malbec 2011 - Seriously Good Stuff (http://www.reversewinesnob.com/2012/08/zolo-malbec-2011-seriously-good-stuff.html),Highly Recommended,8.0,8.0,Other,Fincas Patagonicas Zolo Malbec,2011,http://www.reversewinesnob.com/2012/08/zolo-malbec-2011-seriously-good-stuff.html,Red
231,2011 Handcraft Chardonnay,White,Chardonnay,$8.99,"Handcraft Chardonnay 2011 - Fresh, Fruity and Tasty (http://www.reversewinesnob.com/2014/04/handcraft-chardonnay.html)",Highly Recommended,8.0,8.0,Other,Handcraft Chardonnay,2011,http://www.reversewinesnob.com/2014/04/handcraft-chardonnay.html,White
232,2011 Innocent Bystander Pink Moscato,White,Moscato,$9.99,Innocent Bystander Pink Moscato 2011 - A Beauty for Breakfast (http://www.reversewinesnob.com/2013/02/innocent-bystander-pink-moscato.html),Highly Recommended,8.0,8.0,Other,Innocent Bystander Pink Moscato,2011,http://www.reversewinesnob.com/2013/02/innocent-bystander-pink-moscato.html,White
233,2011 Luca Bosio Barbera d'Asti ,Red,Barbera,$9.99,Luca Bosio Barbera d'Asti 2011 - Bring On The Pizza! (http://www.reversewinesnob.com/2014/08/luca-bosio-barbera-dasti.html),Highly Recommended,8.0,8.0,Other,Luca Bosio Barbera d'Asti ,2011,http://www.reversewinesnob.com/2014/08/luca-bosio-barbera-dasti.html,Red
234,2011 Noble Vines 1 Red Blend,Red,Blend,$9.99,Noble Vines 1 Red Blend 2011 - You've Got Nothing To Fear From These Clones (http://www.reversewinesnob.com/2014/02/noble-vines-1-red-blend.html),Highly Recommended,8.0,8.0,Other,Noble Vines 1 Red Blend,2011,http://www.reversewinesnob.com/2014/02/noble-vines-1-red-blend.html,Red
235,2011 Pasqua Ripasso Valpolicella Superiore,Red,Blend,$8.99,Pasqua Ripasso Valpolicella Superiore 2011 - Hits the Trifecta (http://www.reversewinesnob.com/2013/09/pasqua-ripasso-valpolicella-superiore.html),Highly Recommended,8.0,8.0,Trader Joe's,Pasqua Ripasso Valpolicella Superiore,2011,http://www.reversewinesnob.com/2013/09/pasqua-ripasso-valpolicella-superiore.html,Red
236,2011 Paul Blanck Pinot Blanc d'Alsace,White,Pinot Blanc,$8.99,Paul Blanck Pinot Blanc d'Alsace 2011 - The Magic Continues (http://www.reversewinesnob.com/2013/08/paul-blanck-pinot-blanc-dalsace.html),Highly Recommended,8.0,8.0,Other,Paul Blanck Pinot Blanc d'Alsace,2011,http://www.reversewinesnob.com/2013/08/paul-blanck-pinot-blanc-dalsace.html,White
237,2011 The Seeker Pinot Noir,Red,Pinot Noir,$9.99,The Seeker Pinot Noir 2011 - Seek It Out For Your Next Pizza! (http://www.reversewinesnob.com/2013/01/the-seeker-pinot-noir-2011.html),Highly Recommended,8.0,8.0,Other,The Seeker Pinot Noir,2011,http://www.reversewinesnob.com/2013/01/the-seeker-pinot-noir-2011.html,Red
238,2012 Alain Jaume & Fils Grand Veneur Cotes du Rhone Reserve,Box,Blend,$34.99,The Best Box Wines - Alain Jaume & Fils Grand Veneur Cotes du Rhone Reserve 2012 (http://www.reversewinesnob.com/2014/10/alain-jaume-fils-grand-veneur-cotes-du-rhone-reserve-box.html),Highly Recommended,8.0,8.0,Other,Alain Jaume & Fils Grand Veneur Cotes du Rhone Reserve,2012,http://www.reversewinesnob.com/2014/10/alain-jaume-fils-grand-veneur-cotes-du-rhone-reserve-box.html,Box
239,2012 Charles & Charles Rosé,Rosé,Syrah,$9.99,Charles & Charles Rosé 2012 - Everything You Want In A Rosé (http://www.reversewinesnob.com/2013/05/charles-charles-rose.html),Highly Recommended,8.0,8.0,Other,Charles & Charles Rosé,2012,http://www.reversewinesnob.com/2013/05/charles-charles-rose.html,Rosé
240,2012 Elsa Bianchi Torrontes,White,Torrontes,$8.99,Elsa Bianchi Malbec and Torrontes 2012 - Value Defined (http://www.reversewinesnob.com/2013/07/elsa-bianchi-malbec-and-torrontes.html),Highly Recommended,8.0,8.0,Other,Elsa Bianchi Torrontes,2012,http://www.reversewinesnob.com/2013/07/elsa-bianchi-malbec-and-torrontes.html,White
241,2012 Hardys Nottage Hill Shiraz,Red,Shiraz,$8.99,"Hardys Nottage Hill Shiraz 2012 - Ripe, Tart and Tasty... (http://www.reversewinesnob.com/2014/02/hardys-nottage-hill-shiraz.html)",Highly Recommended,8.0,8.0,Other,Hardys Nottage Hill Shiraz,2012,http://www.reversewinesnob.com/2014/02/hardys-nottage-hill-shiraz.html,Red
242,2012 Jacqueline Bahue Cabernet Franc,Red,Cabernet Franc,$8.99,Jacqueline Bahue Cabernet Franc 2012 - Another Reason To Get Naked (http://www.reversewinesnob.com/2014/04/jacqueline-bahue-cabernet-franc.html),Highly Recommended,8.0,8.0,Naked Wines,Jacqueline Bahue Cabernet Franc,2012,http://www.reversewinesnob.com/2014/04/jacqueline-bahue-cabernet-franc.html,Red
243,2012 Jim Olsen Fair Angel,Red,Blend,$9.99,Jim Olsen Fair Angel 2012 - Fairly Delicious (http://www.reversewinesnob.com/2014/04/jim-olsen-fair-angel.html),Highly Recommended,8.0,8.0,Naked Wines,Jim Olsen Fair Angel,2012,http://www.reversewinesnob.com/2014/04/jim-olsen-fair-angel.html,Red
244,2012 Joseph Drouhin Laforet Bourgogne Chardonnay,Red,Pinot Noir,$9.99,Joseph Drouhin Laforet Bourgogne Chardonnay and Pinot Noir - A Pair of Bargains from Burgundy (http://www.reversewinesnob.com/2013/08/joseph-drouhin-laforet-bourgogne.html),Highly Recommended,8.0,8.0,Other,Joseph Drouhin Laforet Bourgogne Chardonnay,2012,http://www.reversewinesnob.com/2013/08/joseph-drouhin-laforet-bourgogne.html,Red
245,2012 Las Rocas Garnacha Rosé,Rosé,Garnacha,$9.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8.0,8.0,Other,Las Rocas Garnacha Rosé,2012,http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html,Rosé
246,2012 Les Vignerons d'Estezargues Andezon Cotes du Rhone Red,Red,Syrah,$9.99,Andezon Cotes du Rhone Red 2012 - Succulent Syrah! (http://www.reversewinesnob.com/2014/03/andezon-cotes-du-rhone-red.html),Highly Recommended,8.0,8.0,Costco,Les Vignerons d'Estezargues Andezon Cotes du Rhone Red,2012,http://www.reversewinesnob.com/2014/03/andezon-cotes-du-rhone-red.html,Red
247,2012 Montes Twins Red Wine,Red,Blend,$9.99,Montes Twins Red Wine 2012 - Double The Fun (http://www.reversewinesnob.com/2013/11/montes-twins-red-wine.html),Highly Recommended,8.0,8.0,Other,Montes Twins Red Wine,2012,http://www.reversewinesnob.com/2013/11/montes-twins-red-wine.html,Red
248,2012 Red Newt Cellars Circle Riesling,White,Riesling,$9.99,Red Newt Circle Riesling 2012 - Well-Rounded (http://www.reversewinesnob.com/2013/12/red-newt-circle-riesling.html),Highly Recommended,8.0,8.0,Other,Red Newt Cellars Circle Riesling,2012,http://www.reversewinesnob.com/2013/12/red-newt-circle-riesling.html,White
249,2012 Trader Joe's GSM Reserve Lot# 96 Dry Creek Valley,Red,Meritage,$9.99,Trader Joe's GSM Reserve Lot# 96 2012 - Trader Joe's Top Picks Wine #1 (http://www.reversewinesnob.com/2014/05/trader-joes-gsm-reserve-lot-96.html),Highly Recommended,8.0,8.0,Trader Joe's,Trader Joe's GSM Reserve Lot# 96 Dry Creek Valley,2012,http://www.reversewinesnob.com/2014/05/trader-joes-gsm-reserve-lot-96.html,Red
250,2012 Trader Joe's Reserve Lot #100 Paso Robles Syrah,Red,Syrah,$9.99,Trader Joe's Reserve Paso Robles Syrah 2012 - Smooth and Easy (http://www.reversewinesnob.com/2014/10/trader-joes-reserve-paso-robles-syrah.html),Highly Recommended,8.0,8.0,Trader Joe's,Trader Joe's Reserve Lot #100 Paso Robles Syrah,2012,http://www.reversewinesnob.com/2014/10/trader-joes-reserve-paso-robles-syrah.html,Red
251,2012 Wineberry Domaine de Garrigon Cotes du Rhone,Box,Blend,$38.99,The Best Box Wines - Wineberry Domaine de Garrigon Cotes du Rhone 2012 (http://www.reversewinesnob.com/2014/11/the-best-box-wines-wineberry-domaine-de-garrigon-cotes-du-rhone.html),Highly Recommended,8.0,8.0,Other,Wineberry Domaine de Garrigon Cotes du Rhone,2012,http://www.reversewinesnob.com/2014/11/the-best-box-wines-wineberry-domaine-de-garrigon-cotes-du-rhone.html,Box
252,2013 90 Plus Cellars Lot 111 Pinot Noir,Red,Pinot Noir,$9.99,90 Plus Cellars Lot 111 Pinot Noir 2013 - A Lot To Love (http://www.reversewinesnob.com/2014/12/2013-90-plus-cellars-lot-111-pinot-noir.html),Highly Recommended,8.0,8.0,Other,90 Plus Cellars Lot 111 Pinot Noir,2013,http://www.reversewinesnob.com/2014/12/2013-90-plus-cellars-lot-111-pinot-noir.html,Red
253,2013 Arabella Shiraz,Red,Shiraz,$9.99,Arabella Shiraz 2013 - An Easy Keeper (http://www.reversewinesnob.com/2014/05/arabella-shiraz.html),Highly Recommended,8.0,8.0,Naked Wines,Arabella Shiraz,2013,http://www.reversewinesnob.com/2014/05/arabella-shiraz.html,Red
254,2013 Domaine Houchart Cotes de Provence Rosé,Rosé,Blend,$10.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8.0,8.0,Other,Domaine Houchart Cotes de Provence Rosé,2013,http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html,Rosé
255,2013 Hey Mambo Dry Rosé,Rosé,Pinot Noir,$8.99,Hey Mambo Dry Rosé 2013 - One Cool Cat (http://www.reversewinesnob.com/2014/07/hey-mambo-dry-rose.html),Highly Recommended,8.0,8.0,Other,Hey Mambo Dry Rosé,2013,http://www.reversewinesnob.com/2014/07/hey-mambo-dry-rose.html,Rosé
256,2013 Kanonkop Kadette Pinotage Rosé,Rosé,Pinotage,$10.99,6 Fantastically Refreshing Rosé Under $12 (http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html),Highly Recommended,8.0,8.0,Other,Kanonkop Kadette Pinotage Rosé,2013,http://www.reversewinesnob.com/2014/08/fantastically-refreshing-rose.html,Rosé
257,2013 Lieb Cellars Bridge Lane White Blend,Box,Blend,$39.99,The Best Box Wines - Lieb Cellars Bridge Lane White Blend 2013 (http://www.reversewinesnob.com/2014/11/the-best-box-wines-lieb-cellars-bridge-lane-white-blend.html),Highly Recommended,8.0,8.0,Other,Lieb Cellars Bridge Lane White Blend,2013,http://www.reversewinesnob.com/2014/11/the-best-box-wines-lieb-cellars-bridge-lane-white-blend.html,Box
258,Anna de Codorniu Cava Brut,Sparkling,Blend,$8.99,Anna de Codorniu Cava Brut - Crazy for Cava (http://www.reversewinesnob.com/2012/12/anna-de-codorniu-cava-brut-crazy-for-cava.html),Highly Recommended,8.0,8.0,Other,de Codorniu Cava Brut,Anna,http://www.reversewinesnob.com/2012/12/anna-de-codorniu-cava-brut-crazy-for-cava.html,Sparkling
259,Fuori Strada Off Road Sangiovese by Monte Bernardi,Red,Sangiovese,$12.99,Fuori Strada Off Road Sangiovese by Monte Bernardi - Old Fashioned Goodness In A Modern Package (http://www.reversewinesnob.com/2012/06/fuori-strada-off-road-sangiovese-and.html),Highly Recommended,8.0,8.0,Other,Strada Off Road Sangiovese by Monte Bernardi,Fuori,http://www.reversewinesnob.com/2012/06/fuori-strada-off-road-sangiovese-and.html,Red
260,Mionetto Dolce Moscato,Sparkling,Moscato,$9.99,Mionetto Dolce Moscato - Add A Little Sparkle To Your Holidays (http://www.reversewinesnob.com/2013/12/mionetto-dolce-moscato.html),Highly Recommended,8.0,8.0,Other,Dolce Moscato,Mionetto,http://www.reversewinesnob.com/2013/12/mionetto-dolce-moscato.html,Sparkling
261,Paul Cheneau Lady of Spain Cava Brut,Sparkling,Blend,$9.99,Paul Cheneau Lady of Spain Cava Brut - Holiday Sparklers Wine #7 (http://www.reversewinesnob.com/2011/12/paul-cheneau-lady-of-spain-cava-brut.html),Highly Recommended,8.0,8.0,Other,Cheneau Lady of Spain Cava Brut,Paul,http://www.reversewinesnob.com/2011/12/paul-cheneau-lady-of-spain-cava-brut.html,Sparkling
262,Willm Pinot Gris Reserve 2011,White,Pinot Gris,$10.99,Pinot Gris From Alsace - Pinot Grigio That Tastes Good (http://www.reversewinesnob.com/2013/04/pinot-gris-from-alsace-pinot-grigio.html),Highly Recommended,8.0,8.0,Other,Pinot Gris Reserve 2011,Willm,http://www.reversewinesnob.com/2013/04/pinot-gris-from-alsace-pinot-grigio.html,White
263,2008 Bodegas Exopto Big Bang,Red,Blend,$13.79,Bodegas Exopto Big Bang 2008 - A Whole Lot of Bang For Your Buck (http://www.reversewinesnob.com/2012/12/bodegas-exopto-big-bang.html),Highly Recommended,8.0,6.0,Other,Bodegas Exopto Big Bang,2008,http://www.reversewinesnob.com/2012/12/bodegas-exopto-big-bang.html,Red
264,2005 Madrigal Vineyards Napa Valley Petite Sirah,Red,Petite Sirah,$19.99,Madrigal Napa Valley Petite Sirah 2005 - Perfection (http://www.reversewinesnob.com/2013/07/madrigal-napa-valley-petite-sirah.html),Highly Recommended,7.8,10.0,Other,Madrigal Vineyards Napa Valley Petite Sirah,2005,http://www.reversewinesnob.com/2013/07/madrigal-napa-valley-petite-sirah.html,Red
265,2008 Petito Split Rock Vineyard Pinot Noir,Red,Pinot Noir,$19.99,Petito Split Rock Vineyard Pinot Noir 2008 - Splendid (http://www.reversewinesnob.com/2014/10/petito-split-rock-vineyard-pinot-noir.html),Highly Recommended,7.8,10.0,Other,Petito Split Rock Vineyard Pinot Noir,2008,http://www.reversewinesnob.com/2014/10/petito-split-rock-vineyard-pinot-noir.html,Red
266,2009 Poderi Aldo Conterno Langhe Rosso,Red,Freisa,$19.99,Poderi Aldo Conterno Langhe Rosso 2009 - Not For The Faint of Heart (http://www.reversewinesnob.com/2013/12/poderi-aldo-conterno-langhe-rosso.html),Highly Recommended,7.8,10.0,Other,Poderi Aldo Conterno Langhe Rosso,2009,http://www.reversewinesnob.com/2013/12/poderi-aldo-conterno-langhe-rosso.html,Red
267,2011 Andrew Murray Vineyards Esperance GSM Red Blend,Red,Blend,$19.99,Andrew Murray Vineyards Esperance 2011 - Making The Excellent Seem Easy (http://www.reversewinesnob.com/2013/05/andrew-murray-vineyards-esperance.html),Highly Recommended,7.8,10.0,Other,Andrew Murray Vineyards Esperance GSM Red Blend,2011,http://www.reversewinesnob.com/2013/05/andrew-murray-vineyards-esperance.html,Red
268,2013 Michael David Winery Ancient Vine Cinsault,Red,Cinsault,$19.99,Bechthold Vineyard Cinsault - Drink A Little Piece of History With These Four Wines (http://www.reversewinesnob.com/2014/11/bechthold-vineyard-cinsault.html),Highly Recommended,7.8,10.0,Other,Michael David Winery Ancient Vine Cinsault,2013,http://www.reversewinesnob.com/2014/11/bechthold-vineyard-cinsault.html,Red
269,2008 Bokisch Vineyards Tempranillo,Red,Tempranillo,$16.99,http://www.reversewinesnob.com/2011/12/bokisch-vineyards-tempranillo-2008.html,Recommended Buy,7.8,9.0,Other,Bokisch Vineyards Tempranillo,2008,http://www.reversewinesnob.com/2011/12/bokisch-vineyards-tempranillo-2008.html,Red
270,2008 Star Angel by Montes Syrah,Red,Syrah,$16.99,Montes Star Angel Syrah 2008 - Heavenly (http://www.reversewinesnob.com/2014/09/montes-star-angel-syrah.html),Highly Recommended,7.8,9.0,Other,Star Angel by Montes Syrah,2008,http://www.reversewinesnob.com/2014/09/montes-star-angel-syrah.html,Red
271,2008 Willamette Valley Vineyards Pinot Noir,Red,Pinot Noir,$16.99,http://goo.gl/LYivU,Highly Recommended,7.8,9.0,Costco,Willamette Valley Vineyards Pinot Noir,2008,http://goo.gl/LYivU,Red
272,2009 Bodega Monteviejo Lindaflor Petite Fleur,Red,Blend,$16.99,Bodega Monteviejo Lindaflor Petite Fleur 2009 - Silky Smooth and Serious (http://www.reversewinesnob.com/2013/09/bodega-monteviejo-lindaflor-petite-fleur.html),Highly Recommended,7.8,9.0,Other,Bodega Monteviejo Lindaflor Petite Fleur,2009,http://www.reversewinesnob.com/2013/09/bodega-monteviejo-lindaflor-petite-fleur.html,Red
273,2009 Les Clos de Paulilles Banyuls Rimage,Dessert,Grenache,$16.99,Just Add Chocolate For A Little Slice of Heaven (http://www.reversewinesnob.com/2012/05/les-clos-de-paulilles-banyuls-rimage.html),Highly Recommended,7.8,9.0,Other,Les Clos de Paulilles Banyuls Rimage,2009,http://www.reversewinesnob.com/2012/05/les-clos-de-paulilles-banyuls-rimage.html,Dessert
274,2009 Livio Felluga Vertigo,Red,Blend,$16.99,Livio Felluga Vertigo 2009 - A Wine To Swoon Over (http://www.reversewinesnob.com/2014/05/livio-felluga-vertigo.html),Highly Recommended,7.8,9.0,Other,Livio Felluga Vertigo,2009,http://www.reversewinesnob.com/2014/05/livio-felluga-vertigo.html,Red
275,2010 Conte di Bregonzo Amarone Della Valpolicella,Red,Amarone,$16.99,Conte di Bregonzo Amarone Della Valpolicella 2010 - Vino Velvet (http://www.reversewinesnob.com/2013/12/conte-di-bregonzo-amarone-della-valpolicella.html),Highly Recommended,7.8,9.0,Trader Joe's,Conte di Bregonzo Amarone Della Valpolicella,2010,http://www.reversewinesnob.com/2013/12/conte-di-bregonzo-amarone-della-valpolicella.html,Red
276,2010 Fuse Wine Napa Valley Cabernet Sauvignon,Red,Cabernet Sauvignon,$16.99,Fuse Wine Napa Valley Cabernet Sauvignon 2010 - Napa Valley Taste Without The Napa Valley Cost (http://www.reversewinesnob.com/2012/10/fuse-wine-napa-valley-cabernet.html),Highly Recommended,7.8,9.0,Other,Fuse Wine Napa Valley Cabernet Sauvignon,2010,http://www.reversewinesnob.com/2012/10/fuse-wine-napa-valley-cabernet.html,Red
277,2010 Giordano Nebbiolo d'Alba Maestri Italiani,Red,Nebbiolo,$16.99,Giordano Wines - Italian Favorites On A Budget (http://www.reversewinesnob.com/2013/06/giordano-wines-italian-favorites-on-budget.html),Highly Recommended,7.8,9.0,Other,Giordano Nebbiolo d'Alba Maestri Italiani,2010,http://www.reversewinesnob.com/2013/06/giordano-wines-italian-favorites-on-budget.html,Red
